Type;Method;Mode;Platform;Jit;Toolchain;Runtime;GarbageCollection;LaunchCount;WarmupCount;TargetCount;Affinity;Median;StdDev;Scaled
StringBuilderPerformance;GenerateFullTypeNameRegular;Throughput;Host;Host;Classic;Host;Concurrent Workstation;Auto;Auto;Auto;Auto;2.9351 us;0.1291 us;1.00
StringBuilderPerformance;GenerateFullTypeName;Throughput;Host;Host;Classic;Host;Concurrent Workstation;Auto;Auto;Auto;Auto;2.6774 us;0.0345 us;0.91
